state,emp_length,term,homeownership,annual_income,verified_income,debt_to_income,total_credit_limit,total_credit_utilized,num_cc_carrying_balance,loan_purpose,loan_amount,grade,interest_rate,public_record_bankrupt,loan_status
CA,4,36,MORTGAGE,106000,Verified,26.25,405236,105548,12,debt_consolidation,12000,C,12.62,0,Current
TX,3,60,MORTGAGE,245000,Source Verified,24.9,772243,497876,2,debt_consolidation,40000,B,9.44,0,Current
AR,9,60,MORTGAGE,50000,Verified,36.75,246210,51523,10,credit_card,19000,D,19.03,0,Current
SC,3,60,MORTGAGE,80000,Source Verified,28.3,250359,113927,6,debt_consolidation,28000,D,20.39,0,Current
CA,10,60,MORTGAGE,140000,Not Verified,13.82,631258,69647,3,debt_consolidation,15000,B,9.93,0,Fully Paid
MD,1,36,OWN,70000,Source Verified,0,30400,92,1,small_business,2400,A,6.08,0,Fully Paid
MD,2,36,RENT,45000,Source Verified,10.59,14500,13304,6,debt_consolidation,10000,D,21.45,0,Current
NJ,10,60,MORTGAGE,70000,Verified,17.06,363649,29954,7,car,24000,C,15.04,0,In Grace Period
PA,2,36,RENT,75000,Not Verified,18.53,55075,34186,2,other,9500,B,10.42,0,Current
CA,2,36,RENT,53592,Source Verified,7.1,42499,10466,2,other,30000,C,12.61,0,Current
MD,5,60,RENT,90000,Source Verified,15.72,77285,51012,3,moving,15000,B,11.99,0,Current
VA,10,60,RENT,77000,Source Verified,14.82,74852,44015,6,debt_consolidation,35000,C,15.05,0,Current
TX,2,36,RENT,42000,Source Verified,25.89,43239,31094,3,credit_card,10000,C,15.05,0,Current
TX,4,60,MORTGAGE,130000,Source Verified,13.51,403408,49857,4,home_improvement,40000,C,12.62,0,Current
NC,10,36,OWN,76300,Not Verified,10.71,185068,26515,4,debt_consolidation,15000,A,6.72,1,Current
FL,2,36,MORTGAGE,190000,Not Verified,2.68,175300,18870,5,debt_consolidation,20000,A,6.71,0,Current
TX,0,36,RENT,41000,Verified,25.7,29311,13527,5,debt_consolidation,4500,C,15.05,0,Current
NE,2,60,RENT,30000,Not Verified,3.64,18000,5542,3,car,16000,B,9.93,0,Current
NC,6,36,MORTGAGE,88000,Source Verified,17.24,404236,199983,4,credit_card,10000,B,10.42,0,Current
TX,2,60,MORTGAGE,115000,Verified,18.72,394519,69124,5,debt_consolidation,20000,E,22.91,0,Current
TX,10,60,RENT,95731,Not Verified,19.64,86768,53109,4,debt_consolidation,20600,G,30.79,0,Current
CA,2,60,RENT,127000,Source Verified,9.12,74518,34313,4,major_purchase,35000,C,15.05,0,Current
GA,10,36,MORTGAGE,75000,Source Verified,22.91,224758,63799,1,debt_consolidation,10000,A,6.07,0,Current
NC,5,36,MORTGAGE,70000,Not Verified,21.41,279995,52244,2,debt_consolidation,12000,A,6.07,0,Current
NJ,8,36,MORTGAGE,75000,Verified,20.16,365595,30262,7,house,15000,A,7.34,0,Current
NV,10,36,MORTGAGE,73000,Verified,39.08,146435,51162,13,debt_consolidation,20000,C,13.59,1,Current
CO,10,36,RENT,188000,Not Verified,11.64,80444,45181,20,debt_consolidation,10000,A,5.31,0,Current
WV,8,36,MORTGAGE,50000,Verified,12.15,97664,21687,4,debt_consolidation,25000,B,9.93,1,Current
MD,10,36,OWN,58000,Source Verified,12.58,37300,14770,6,debt_consolidation,10000,B,9.92,0,Current
VA,1,36,RENT,105000,Not Verified,16.73,63600,53168,4,debt_consolidation,6000,B,9.93,0,Current
VA,10,60,MORTGAGE,114000,Verified,28.13,451597,88594,8,credit_card,20000,C,14.07,0,Current
CA,10,36,MORTGAGE,150000,Source Verified,7.89,96633,43253,4,medical,15000,A,7.97,0,Current
PA,0,36,MORTGAGE,69000,Not Verified,15.42,291176,33890,3,debt_consolidation,20000,A,5.31,0,Current
FL,10,60,MORTGAGE,30000,Not Verified,32.4,69244,23425,15,debt_consolidation,10500,B,9.93,0,Current
IL,5,60,MORTGAGE,60000,Source Verified,17.28,47882,36724,8,credit_card,11400,C,14.08,1,Current
NH,5,36,MORTGAGE,74000,Not Verified,32.06,384554,63783,5,car,5500,C,12.61,0,Current
UT,0,36,RENT,25000,Source Verified,3.7,1900,807,3,debt_consolidation,5000,C,12.62,0,Current
MA,0,36,RENT,31000,Source Verified,16.26,43430,14955,10,other,15000,C,12.62,0,Current
NJ,3,36,RENT,64000,Source Verified,8.72,49500,19719,2,debt_consolidation,10000,A,6.71,0,Current
KY,3,60,RENT,24000,Source Verified,16.3,54966,42068,1,major_purchase,10450,D,19.42,0,Current
NC,2,36,MORTGAGE,77000,Source Verified,16.04,188426,59514,2,credit_card,7200,C,12.62,0,Current
FL,10,60,MORTGAGE,31000,Not Verified,28.42,190216,24861,6,debt_consolidation,35000,C,14.08,0,Current
OH,0,36,RENT,60000,Verified,19.22,69357,68594,4,other,2400,D,17.47,0,Current
TX,9,36,MORTGAGE,41787,Verified,37.74,42639,36441,9,credit_card,12800,D,18.06,0,Current
CA,4,36,MORTGAGE,45000,Verified,15.44,215675,13559,6,other,8000,C,16.02,1,Current
OK,0,36,MORTGAGE,77000,Verified,18.39,174300,31663,3,debt_consolidation,30000,D,19.03,0,Current
PA,1,36,MORTGAGE,72000,Source Verified,27.23,158659,65964,4,debt_consolidation,7000,C,12.62,1,Current
TX,8,36,MORTGAGE,165000,Source Verified,11.14,103527,70510,4,other,25000,A,6.07,0,Current
FL,10,60,MORTGAGE,43000,Source Verified,1.56,45100,860,3,home_improvement,40000,B,9.43,0,Current
VA,10,60,MORTGAGE,90000,Verified,17.44,524622,87687,3,debt_consolidation,24000,B,10.42,0,Current
SD,10,36,OWN,95000,Not Verified,11.45,73740,14461,8,debt_consolidation,5000,A,7.96,1,Current
MO,10,60,MORTGAGE,152000,Not Verified,21.09,476029,121076,6,small_business,40000,C,13.59,0,Current
IL,2,60,MORTGAGE,49500,Source Verified,34.86,241110,159851,5,credit_card,15000,C,15.04,0,Current
TX,5,36,OWN,32000,Source Verified,13.77,37596,18294,6,home_improvement,5000,C,12.61,0,Current
FL,8,36,RENT,78000,Source Verified,9.61,48354,40982,6,credit_card,7000,A,7.96,1,Current
AZ,2,60,RENT,52000,Source Verified,24.39,86360,47451,1,debt_consolidation,17450,C,13.58,0,Current
NY,10,60,MORTGAGE,147000,Source Verified,5.16,386381,23551,6,debt_consolidation,30000,C,16.01,0,Current
NJ,10,36,OWN,140000,Verified,28.53,454500,177350,11,debt_consolidation,15000,E,22.91,0,Current
IL,5,36,RENT,50000,Not Verified,20.74,128476,16061,14,debt_consolidation,20000,A,7.97,0,Current
TX,3,36,MORTGAGE,190000,Not Verified,15.84,619105,84019,5,debt_consolidation,12000,A,6.08,0,Current
CO,10,36,RENT,126000,Source Verified,3.82,49529,7020,1,debt_consolidation,16500,A,5.32,0,Current
MA,10,36,MORTGAGE,95000,Not Verified,15.48,277964,47779,7,debt_consolidation,19200,A,5.32,1,Current
NJ,10,36,MORTGAGE,80000,Source Verified,14.16,285387,22788,6,major_purchase,7050,B,9.93,0,Current
MN,10,60,MORTGAGE,23000,Verified,49.58,44927,29553,7,credit_card,15000,D,20,1,Current
NY,10,36,OWN,66000,Not Verified,13.27,65475,60327,5,debt_consolidation,11200,C,15.05,0,Current
IL,5,36,RENT,60000,Source Verified,16.72,242220,30552,7,debt_consolidation,8000,A,7.96,0,Current
TX,0,60,MORTGAGE,101000,Source Verified,18.5,343573,39168,5,debt_consolidation,20000,E,26.77,0,Current
TN,4,60,MORTGAGE,113000,Not Verified,15.28,795794,78028,7,home_improvement,10800,B,9.44,1,Current
NH,10,36,MORTGAGE,61000,Not Verified,19.05,141543,42210,4,debt_consolidation,7200,C,13.59,0,Current
SC,1,36,RENT,28000,Source Verified,26.96,28300,13329,8,debt_consolidation,12000,C,15.04,0,Current
NY,2,36,MORTGAGE,75000,Not Verified,21.63,213035,79897,7,credit_card,20000,A,5.31,0,Current
FL,2,36,MORTGAGE,44000,Verified,24.77,56476,40706,5,home_improvement,7200,C,14.08,0,Fully Paid
TX,2,36,RENT,60000,Source Verified,18.36,36564,20307,2,small_business,6000,C,13.59,0,Current
TX,10,36,RENT,47000,Not Verified,18.92,24823,11443,3,debt_consolidation,5000,A,7.97,0,Current
FL,2,60,RENT,58000,Source Verified,14.66,101890,43411,3,debt_consolidation,16000,B,9.93,0,Current
AL,10,36,MORTGAGE,55000,Source Verified,29.58,245213,27408,6,debt_consolidation,15600,A,6.08,0,Current
CA,5,36,RENT,95000,Source Verified,13.49,66559,47029,6,moving,10000,B,10.42,0,Current
PA,0,36,MORTGAGE,65000,Source Verified,29.36,86480,66933,3,debt_consolidation,30000,D,17.47,0,Current
CA,4,36,RENT,250000,Source Verified,1.12,27800,5459,6,debt_consolidation,30000,B,10.9,0,Current
CO,10,36,MORTGAGE,55200,Not Verified,18.67,206967,57403,3,credit_card,16000,A,6.08,0,Current
NY,10,36,RENT,42000,Not Verified,25.23,55732,29882,2,credit_card,20000,C,12.61,0,Current
FL,4,36,OWN,60000,Verified,26.88,350266,76834,6,credit_card,15000,D,18.06,0,Current
MO,10,60,MORTGAGE,120000,Source Verified,21.45,179741,165182,6,debt_consolidation,16000,C,13.59,0,Current
CA,4,36,MORTGAGE,63000,Source Verified,15.3,33048,20366,8,debt_consolidation,10000,C,16.02,1,In Grace Period
NY,10,36,MORTGAGE,155000,Verified,16.13,294645,96202,2,major_purchase,25000,B,9.93,0,Current
MA,1,36,RENT,40000,Source Verified,2.91,15800,2523,3,car,12000,B,9.92,0,Current
TN,3,36,RENT,42500,Not Verified,18.55,41886,27474,3,credit_card,6000,A,7.35,0,Current
NJ,10,36,OWN,230000,Source Verified,9.19,441037,53298,3,debt_consolidation,12000,B,10.91,0,Current
LA,4,60,MORTGAGE,75000,Source Verified,8.46,293947,164954,2,house,10000,C,13.59,0,Current
OH,0,36,MORTGAGE,24000,Source Verified,9.8,15100,5929,4,debt_consolidation,20000,C,14.07,1,Current
MA,1,36,RENT,110000,Not Verified,11.62,50939,19887,3,credit_card,8500,A,7.34,0,Current
WV,10,60,OWN,172000,Verified,24.31,764559,110739,8,home_improvement,36000,C,15.05,0,Current
GA,10,36,RENT,145000,Verified,14.66,206996,61746,4,debt_consolidation,40000,A,6.72,0,Current
CA,4,36,MORTGAGE,85000,Source Verified,22.73,428429,69424,3,debt_consolidation,9000,C,16.01,0,Current
PA,10,36,RENT,42000,Not Verified,9.91,50600,11048,7,debt_consolidation,7200,A,7.34,0,Current
WI,3,36,RENT,36000,Not Verified,29.47,46680,44111,2,debt_consolidation,6100,E,23.88,1,Current
IN,10,36,OWN,37000,Not Verified,4.25,19900,4154,2,debt_consolidation,10000,A,6.72,0,Current
CA,1,36,OWN,45000,Source Verified,16.97,56393,20877,6,debt_consolidation,25000,D,21.45,0,Current
OH,10,60,MORTGAGE,40000,Verified,19.44,38688,17445,8,debt_consolidation,16000,E,25.82,1,Fully Paid
CA,2,60,RENT,182000,Not Verified,6.06,56000,34611,5,credit_card,32000,C,14.08,0,Current
CA,3,36,RENT,51000,Verified,17.25,52441,38608,4,credit_card,12000,C,15.05,1,Fully Paid
MI,10,36,RENT,45000,Not Verified,23.33,85062,27762,14,debt_consolidation,10000,B,9.44,0,Current
NY,2,36,MORTGAGE,31200,Verified,33.19,40580,30433,5,debt_consolidation,2200,D,17.09,0,Current
IL,1,36,RENT,27278,Not Verified,19.93,33085,21669,4,credit_card,4800,C,16.01,0,Current
GA,10,60,MORTGAGE,75000,Source Verified,15.31,88855,28400,2,home_improvement,35000,B,10.9,1,Current
KS,5,36,RENT,100000,Not Verified,22.88,96081,49906,6,credit_card,35000,C,12.62,0,Current
NY,10,36,MORTGAGE,66000,Source Verified,6.11,246436,13900,1,major_purchase,2400,B,10.41,0,Current
OH,2,36,RENT,89000,Not Verified,18.65,114770,52475,5,credit_card,19600,A,5.32,0,Current
MA,3,60,MORTGAGE,50000,Verified,27.08,288973,46068,2,debt_consolidation,26000,D,21.85,1,Current
MD,6,60,MORTGAGE,99000,Not Verified,11.73,53203,27819,10,home_improvement,12000,D,18.06,1,Current
AR,0,36,RENT,150000,Source Verified,7.82,381481,93341,3,medical,13000,A,5.32,0,Current
NY,3,60,RENT,57000,Source Verified,18.88,97124,68759,4,house,11750,D,17.09,0,Current
NY,10,60,MORTGAGE,99000,Source Verified,20.78,415771,57617,6,debt_consolidation,30000,B,9.93,0,Current
MS,6,36,RENT,44000,Source Verified,19.42,63963,39654,1,credit_card,7000,A,6.08,0,Current
VA,4,36,RENT,97000,Not Verified,0.33,25854,11195,1,other,35000,C,16.01,0,Current
IL,10,60,MORTGAGE,30000,Not Verified,8.56,22300,10709,3,credit_card,10000,C,13.59,1,Current
CA,5,60,MORTGAGE,115000,Source Verified,12.89,527790,88149,0,small_business,40000,C,15.04,0,Current
IL,2,36,MORTGAGE,80000,Not Verified,9.92,322553,20241,5,credit_card,12000,A,6.71,0,Current
OR,0,36,RENT,15000,Source Verified,7.2,13800,13570,3,debt_consolidation,16000,D,17.47,0,Current
FL,7,36,MORTGAGE,60000,Source Verified,27.06,94036,44347,5,debt_consolidation,10000,B,11.99,1,Current
CA,0,36,RENT,50000,Source Verified,13.3,31300,15584,6,credit_card,10000,C,13.59,0,Current
IN,9,36,MORTGAGE,91000,Not Verified,24.99,307277,105205,7,debt_consolidation,15000,A,7.35,0,Current
MN,10,60,MORTGAGE,75000,Source Verified,0.54,253569,42,3,major_purchase,24000,B,10.42,0,Current
CA,10,36,MORTGAGE,182000,Source Verified,16.72,604303,78003,2,debt_consolidation,40000,A,7.97,0,Current
NC,4,36,MORTGAGE,121500,Verified,39.34,249000,145985,7,debt_consolidation,32175,C,12.61,0,Current
MS,4,60,MORTGAGE,170000,Not Verified,14.23,296303,95665,7,debt_consolidation,25000,B,9.93,0,Current
NY,2,60,RENT,70000,Not Verified,21.79,216901,32432,4,debt_consolidation,24000,C,14.07,0,Current
TX,5,60,OWN,60000,Source Verified,5.96,13217,9799,4,credit_card,15000,C,14.08,0,Current
NY,1,60,MORTGAGE,100000,Source Verified,22.49,220075,98692,1,other,36000,C,12.62,0,Current
OR,10,60,RENT,68000,Source Verified,17.28,205036,37791,13,debt_consolidation,20000,C,16.02,0,Current
TX,10,60,MORTGAGE,65000,Not Verified,29.38,287820,72529,6,debt_consolidation,30000,C,14.07,0,Current
NY,0,36,MORTGAGE,42500,Source Verified,24.57,123232,57581,4,debt_consolidation,11000,D,18.06,0,Current
CA,2,60,RENT,52000,Not Verified,21.3,73249,34442,4,credit_card,15000,C,14.08,0,Current
GA,2,60,RENT,68250,Source Verified,8.63,98559,90416,5,credit_card,13500,C,16.02,0,Current
AL,3,60,MORTGAGE,55000,Source Verified,8.66,122838,16537,1,debt_consolidation,10000,B,11.99,0,Current
FL,10,36,OWN,85000,Not Verified,26.49,117100,53291,10,credit_card,25000,A,6.72,0,Fully Paid
MI,10,60,MORTGAGE,318000,Source Verified,8.37,125809,90942,2,debt_consolidation,25000,D,19.03,1,Fully Paid
CO,7,36,OWN,95000,Source Verified,11.33,77389,46601,2,debt_consolidation,28000,A,6.71,0,Current
SC,2,36,RENT,71000,Not Verified,15.48,71270,39261,3,credit_card,10000,A,6.07,0,Current
NC,3,36,MORTGAGE,41200,Source Verified,16.95,191066,47940,2,other,10000,A,7.35,0,Current
WA,0,36,RENT,15000,Source Verified,5.87,28874,2114,2,debt_consolidation,2500,C,13.59,0,Current
LA,0,36,OWN,95000,Not Verified,12.42,390874,37792,3,other,6500,A,5.31,0,Current
NE,9,36,RENT,88000,Source Verified,13.04,39353,24021,4,debt_consolidation,10000,A,7.97,0,Fully Paid
CO,10,36,MORTGAGE,65000,Source Verified,40.15,459836,117216,4,debt_consolidation,14500,A,7.35,1,Current
CA,6,36,RENT,80000,Verified,11.88,27100,14056,3,house,40000,B,11.99,1,Current
FL,5,36,RENT,45000,Not Verified,25.41,72097,33160,8,other,16000,C,16.02,0,Current
CA,10,36,RENT,150000,Source Verified,9.33,55420,38733,3,debt_consolidation,14000,B,9.93,1,Current
FL,1,36,RENT,69000,Not Verified,27.74,95775,48638,8,debt_consolidation,10000,D,19.42,0,Fully Paid
KY,10,36,MORTGAGE,35000,Not Verified,23.01,185161,86272,10,debt_consolidation,2400,A,7.96,0,Current
CA,3,36,MORTGAGE,39000,Source Verified,10.83,406749,12329,1,debt_consolidation,17000,C,13.59,0,Current
AR,8,36,OWN,90000,Verified,39.63,168002,136103,6,credit_card,24000,C,12.61,1,Current
TX,10,36,RENT,82000,Source Verified,7.08,32200,10401,11,credit_card,30000,C,16.01,0,Current
CA,0,36,OWN,27000,Not Verified,2.54,15600,1364,2,other,3600,A,6.72,0,Current
TX,3,36,MORTGAGE,92000,Not Verified,25.33,260226,51302,2,home_improvement,20000,A,6.07,1,Current
NJ,6,36,MORTGAGE,45000,Source Verified,23.92,360202,82200,9,debt_consolidation,8000,C,15.05,0,Current
CA,1,36,RENT,40000,Source Verified,29.72,57628,34805,5,credit_card,16000,A,6.07,0,Current
NC,1,36,MORTGAGE,170000,Verified,22.66,349067,101835,12,debt_consolidation,24000,C,13.58,0,Current
CA,5,36,RENT,30000,Source Verified,5.68,11000,3775,1,credit_card,2000,B,10.42,0,Current
NY,3,36,RENT,52500,Source Verified,9.73,79622,71415,4,other,2000,B,11.98,0,Current
CA,8,36,RENT,25000,Source Verified,2.78,41300,2461,2,vacation,6500,B,9.43,0,Current
SC,6,36,RENT,70000,Not Verified,39.07,109647,75898,13,debt_consolidation,8000,C,16.02,0,Current
VA,2,60,RENT,125000,Source Verified,2.47,88500,11361,2,credit_card,25000,C,12.61,0,Current
CA,10,60,MORTGAGE,60000,Source Verified,22.92,374897,48921,11,debt_consolidation,15000,C,14.07,0,Current
NC,2,36,RENT,100000,Source Verified,27.71,130869,51510,5,debt_consolidation,35000,B,10.42,0,Current
CA,3,36,RENT,205000,Source Verified,14.04,96538,65694,2,debt_consolidation,26000,B,10.42,1,Current
MI,10,60,MORTGAGE,45000,Source Verified,11.79,105050,16491,3,debt_consolidation,12000,D,17.47,1,Current
CA,2,60,RENT,26448,Not Verified,30.54,36280,27636,2,credit_card,10000,B,10.91,0,Current
CA,10,36,MORTGAGE,90000,Not Verified,18.63,321900,30997,4,home_improvement,15000,A,5.32,0,Current
NJ,5,60,MORTGAGE,80000,Not Verified,18.39,531782,81876,6,credit_card,14000,B,9.44,0,Current
GA,10,36,MORTGAGE,60000,Source Verified,27.84,239781,37064,9,debt_consolidation,15000,B,9.44,0,Current
NY,5,36,RENT,60000,Not Verified,9.24,27540,8770,4,debt_consolidation,10000,C,14.08,0,Current
WA,3,36,RENT,25000,Not Verified,14.31,33000,6979,6,debt_consolidation,5000,A,7.35,1,Current
GA,10,60,RENT,74000,Not Verified,14.39,90000,29504,5,small_business,28125,C,12.62,0,Current
MD,10,36,RENT,119568,Verified,22.04,101559,70239,11,debt_consolidation,10000,C,15.04,0,Current
MA,2,60,MORTGAGE,151000,Verified,15.81,160259,77372,6,home_improvement,40000,B,10.9,0,Current
CA,6,36,RENT,70000,Not Verified,27.6,92378,45569,4,credit_card,10000,A,6.72,0,Current
ME,4,36,OWN,35000,Verified,29.12,72470,37589,0,debt_consolidation,8000,A,5.32,0,Current
NY,2,60,RENT,84000,Verified,7.57,38401,35702,1,house,35000,B,11.99,0,Late (31-120 days)
CA,2,36,MORTGAGE,200000,Source Verified,10.67,513156,35893,3,debt_consolidation,20000,A,5.32,0,Current
FL,5,36,OWN,25000,Verified,31.61,43376,14488,2,debt_consolidation,9000,B,10.41,0,Current
VT,0,60,RENT,60000,Source Verified,8.7,16000,11539,3,debt_consolidation,20000,C,14.07,0,Current
NJ,10,36,RENT,65000,Not Verified,15.05,101727,22442,4,debt_consolidation,3000,A,6.07,0,Current
OR,3,36,RENT,15000,Verified,28.96,31167,21577,5,credit_card,8000,B,9.93,0,Current
TX,10,36,OWN,52000,Source Verified,2.28,4100,1460,5,major_purchase,10000,B,11.99,0,Current
ME,2,36,RENT,44000,Verified,12.9,269361,46789,1,major_purchase,5000,A,6.71,1,Current
IL,1,60,RENT,48000,Not Verified,18.03,51430,21017,7,debt_consolidation,10000,C,13.59,0,Current
CT,2,36,OWN,100000,Source Verified,10.92,30000,15946,3,home_improvement,40000,B,10.9,1,Current
OH,0,36,RENT,33000,Not Verified,27.02,82620,77325,2,credit_card,1500,B,10.42,0,Current
GA,10,36,MORTGAGE,196000,Not Verified,24.38,264105,214317,7,credit_card,28000,C,15.05,0,Current
CA,7,36,RENT,76000,Not Verified,11.45,54900,18790,5,debt_consolidation,8000,A,6.71,0,Current
FL,5,60,RENT,49000,Source Verified,28.8,98338,90581,4,debt_consolidation,20000,D,21.45,1,Current
NY,0,36,MORTGAGE,275000,Source Verified,11.12,599264,147964,9,debt_consolidation,40000,B,9.44,0,Current
NY,4,36,MORTGAGE,80000,Verified,13.47,168890,40632,8,debt_consolidation,11000,B,11.99,0,Current
NY,3,36,RENT,35500,Not Verified,16.93,53495,42709,6,debt_consolidation,3300,B,11.99,0,Current
FL,1,36,OWN,150000,Source Verified,33.23,566609,105380,8,credit_card,16500,A,6.07,0,Current
WA,10,60,RENT,80000,Source Verified,23.73,96240,83701,5,debt_consolidation,15000,D,19.42,1,Current
NJ,10,60,RENT,105000,Verified,14.37,134300,83037,7,major_purchase,35000,D,21.85,0,Current
MN,10,36,MORTGAGE,72000,Verified,21.32,245282,37210,5,debt_consolidation,4400,C,14.08,0,Current
MA,10,60,MORTGAGE,96000,Verified,18.66,427091,39536,8,debt_consolidation,19000,D,18.06,0,Current
MI,1,36,OWN,35300,Source Verified,27.2,37273,30394,5,debt_consolidation,3125,B,10.91,0,Current
IL,10,60,MORTGAGE,73000,Not Verified,24.38,194873,57185,15,debt_consolidation,20000,B,9.44,0,Current
IL,10,60,OWN,50000,Verified,17.23,127498,16349,4,debt_consolidation,20000,C,12.62,0,Current
PA,3,60,OWN,70000,Not Verified,7.75,68800,19857,4,debt_consolidation,10000,B,9.44,0,Current
NC,7,36,MORTGAGE,350000,Verified,6.21,541617,81103,8,debt_consolidation,35000,A,6.08,0,Current
OH,10,36,RENT,65000,Not Verified,26.88,95285,37650,6,debt_consolidation,14000,B,11.98,0,Current
NY,3,36,OWN,85820,Not Verified,19.44,43400,35479,7,other,16000,B,9.92,0,Current
KY,8,36,MORTGAGE,275000,Source Verified,19.2,655736,121893,4,debt_consolidation,8000,C,13.59,0,Current
NM,10,36,RENT,90000,Not Verified,16.31,79813,50734,6,debt_consolidation,7000,B,10.41,1,Current
IN,5,60,MORTGAGE,45000,Verified,42.64,243108,47123,5,debt_consolidation,24000,B,9.93,0,Current
AZ,10,36,MORTGAGE,45000,Not Verified,17.49,205174,27470,5,debt_consolidation,10000,A,7.97,0,Current
NY,10,36,RENT,56000,Not Verified,32.32,80123,50384,3,debt_consolidation,2500,D,19.42,0,Current
MN,2,60,MORTGAGE,58500,Verified,18.17,239313,163262,4,other,25000,D,18.45,0,Current
KY,0,36,MORTGAGE,170000,Not Verified,7.2,526275,59144,5,home_improvement,5000,A,6.72,0,Current
VA,5,36,MORTGAGE,33427.94,Source Verified,3.48,83600,3503,2,debt_consolidation,9000,B,10.91,0,Current
MA,10,36,RENT,92000,Not Verified,9.37,44560,24203,6,credit_card,10000,B,10.41,0,Current
TX,4,36,MORTGAGE,49000,Not Verified,15.28,318564,35342,8,debt_consolidation,10000,B,9.44,0,Current
NY,4,36,RENT,35000,Source Verified,9.09,19023,6155,2,debt_consolidation,6000,C,12.61,0,Current
FL,0,36,RENT,35000,Not Verified,3.67,27400,2301,4,debt_consolidation,2500,A,7.96,0,Current
NY,4,36,OWN,50000,Verified,2.7,7400,6174,2,credit_card,32000,B,10.9,0,Current
CA,10,60,MORTGAGE,98000,Not Verified,16.07,300427,43011,4,debt_consolidation,28000,D,21.85,0,Current
IL,10,60,MORTGAGE,108000,Verified,21.08,209236,46828,16,debt_consolidation,35000,B,9.43,0,Current
AL,10,60,MORTGAGE,90000,Source Verified,13.72,324219,49013,9,debt_consolidation,15000,C,14.07,0,Current
WI,10,36,MORTGAGE,52000,Source Verified,15.3,182460,20570,4,credit_card,16000,B,10.9,1,Current
NY,8,36,MORTGAGE,109000,Not Verified,13.82,207658,25038,3,debt_consolidation,20000,A,6.08,0,Current
GA,1,36,RENT,65000,Source Verified,15.94,79132,75734,5,credit_card,10000,B,9.93,0,Current
MN,1,36,RENT,55000,Not Verified,11.52,21664,15558,3,car,10000,C,12.61,0,Current
PA,10,60,MORTGAGE,58000,Not Verified,18.48,190462,30328,4,debt_consolidation,15000,B,10.42,0,Current
MD,10,60,MORTGAGE,84000,Source Verified,22.6,300443,40043,6,debt_consolidation,11100,F,30.17,0,Current
GA,10,60,RENT,85000,Verified,21.22,66747,58091,4,debt_consolidation,24000,D,19.42,0,Late (31-120 days)
